Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,delay,Mean,Error,StdDev,P80,P95,Ratio,RatioSD,Allocated,Alloc Ratio
All_Success_Bind,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 9.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,00:00:00,396.4 ns,2.02 ns,1.79 ns,397.6 ns,399.2 ns,baseline,,0 B,NA
Fail_First_Bind,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 9.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,00:00:00,135.5 ns,2.65 ns,2.94 ns,137.5 ns,142.0 ns,2.93x faster,0.06x,0 B,NA
Fail_Mid_Bind,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 9.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,00:00:00,268.3 ns,3.17 ns,2.81 ns,270.8 ns,272.3 ns,1.48x faster,0.02x,0 B,NA
Fail_Last_Bind,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 9.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,00:00:00,404.1 ns,7.41 ns,6.57 ns,407.8 ns,415.3 ns,1.02x slower,0.02x,0 B,NA
All_Success_Bind,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 9.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,00:00:00.0100000,"46,111,521.8 ns","192,384.31 ns","179,956.40 ns","46,276,183.6 ns","46,378,462.7 ns",baseline,,36 B,
Fail_First_Bind,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 9.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,00:00:00.0100000,"15,426,211.6 ns","54,496.15 ns","50,975.74 ns","15,472,531.9 ns","15,483,028.6 ns",2.99x faster,0.01x,6 B,6.00x less
Fail_Mid_Bind,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 9.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,00:00:00.0100000,"30,808,305.6 ns","105,414.06 ns","98,604.37 ns","30,909,783.8 ns","30,924,549.7 ns",1.50x faster,0.01x,12 B,3.00x less
Fail_Last_Bind,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 9.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,00:00:00.0100000,"46,163,303.0 ns","219,192.98 ns","205,033.25 ns","46,307,245.5 ns","46,480,478.2 ns",1.00x slower,0.01x,10 B,3.60x less
All_Success_Bind,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 9.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,00:00:00.1000000,"322,992,466.7 ns","1,473,213.95 ns","1,378,045.25 ns","324,191,030.0 ns","324,994,950.0 ns",baseline,,56 B,
Fail_First_Bind,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 9.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,00:00:00.1000000,"107,686,136.0 ns","573,511.95 ns","536,463.44 ns","108,014,196.0 ns","108,556,736.0 ns",3.00x faster,0.02x,80 B,1.43x more
Fail_Mid_Bind,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 9.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,00:00:00.1000000,"215,564,164.4 ns","1,065,878.73 ns","997,023.62 ns","216,307,473.3 ns","216,915,103.3 ns",1.50x faster,0.01x,37 B,1.51x less
Fail_Last_Bind,DefaultJob,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 9.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,00:00:00.1000000,"323,256,786.7 ns","1,362,267.07 ns","1,274,265.46 ns","324,183,810.0 ns","325,108,270.0 ns",1.00x slower,0.01x,56 B,1.00x more
